,Title,Publish_date,views,comments,likes,Duration,video_link
162,Ziddi Murge ki Kahani | Angry Masterji Part 2 | BB Ki Vines,27 Jun 2015,"19,108,595","4,872",590K,3:03,https://www.youtube.com/watch?v=pwVdOND5QxM
163,BB Ki Vines- | English ka keeda |,27 Jun 2015,"16,151,851","5,016",598K,2:12,https://www.youtube.com/watch?v=yVhPXsJ0Q0w
164,BB Ki Vines- | Doctor Sehgal- (Gupt Rog) |,27 Jun 2015,"9,129,381","3,593",372K,2:12,https://www.youtube.com/watch?v=ZumYf33E_lY
165,BB Ki Vines- | Wrong Number |,20 Jun 2015,"11,655,549","3,968",515K,1:51,https://www.youtube.com/watch?v=ESsS1b7TEx8
166,BB Ki Vines- | Aashiqui 3 |,20 Jun 2015,"12,833,734","3,564",497K,1:47,https://www.youtube.com/watch?v=FuQOPQL7DnI
167,BB Ki Vines- | Such a Pussy |,20 Jun 2015,"4,487,323","2,020",279K,1:19,https://www.youtube.com/watch?v=8skubpQLrwo
168,Comedy Hunt- I am feeling HORNY,20 Jun 2015,"4,988,775","1,459",280K,0:58,https://www.youtube.com/watch?v=lhSL8ienuW8
169,Bhuvan din bhar ghar par karta kya hai? | Angry Masterji | BB Ki Vines,20 Jun 2015,"19,087,613","6,875",710K,3:23,https://www.youtube.com/watch?v=-lXH1-FCcCY
170,Babloo Ji Raat ko Kahan The? | Hawas Ka Pujaari | BB Ki Vines,20 Jun 2015,"16,006,135","3,821",583K,2:15,https://www.youtube.com/watch?v=yEp0JJyDG9o
171,BB Ki Vines- | Media Nowadays |,20 Jun 2015,"6,422,278","3,943",379K,1:07,https://www.youtube.com/watch?v=k-SFaA5WGnE
172,Shirt se Beer ki Badbu | Pineapple Juice | BB Ki Vines,20 Jun 2015,"11,673,540","2,634",553K,1:57,https://www.youtube.com/watch?v=FxzLge0E0yM
173,Saral bhasha main bolo! | Comedy Hunt - Doctor Sehgal | BB Ki Vines,20 Jun 2015,"8,702,079","3,621",409K,1:51,https://www.youtube.com/watch?v=Vof5t92yx8I
174,BB Ki Vines- | Paarak Chalo |,20 Jun 2015,"13,213,294","5,847",637K,1:03,https://www.youtube.com/watch?v=SXuxB-i5Wrc
175,BB Ki Vines- | Dost Dost naa raha |,20 Jun 2015,"8,224,850","2,537",370K,1:27,https://www.youtube.com/watch?v=UVhk4pAT3ic
176,BB Ki Vines- | Kanjoos dost |,20 Jun 2015,"8,603,189","1,630",422K,0:58,https://www.youtube.com/watch?v=i-MkGblvbdQ
177,Kisme Hai Itni Himmat? | Fights (Then & Now) | BB Ki Vines,20 Jun 2015,"9,703,663","3,445",493K,1:41,https://www.youtube.com/watch?v=z_n-8lzuh1A
178,BB Ki Vines- | Cheesy Relationships |,20 Jun 2015,"5,091,884","1,781",335K,0:51,https://www.youtube.com/watch?v=vrjlZhYVf30
179,BB Ki Vines- | Taking Permission From Parents |,20 Jun 2015,"6,004,212","2,421",333K,0:40,https://www.youtube.com/watch?v=viCH81Q_i6A
180,Raaste Mei Hu! | Jhoota Dost Late Lateef | BB Ki Vines,20 Jun 2015,"4,747,003","1,458",302K,0:29,https://www.youtube.com/watch?v=ydSWOCDxnKM
181,BB Ki Vines- | Abusing in front of parents |,20 Jun 2015,"6,481,299","2,529",408K,0:48,https://www.youtube.com/watch?v=R0F3YgtpuUM
182,Kutiya Khafa Saand Bewafa | Gaur Se Dekhiye | BB Ki Vines,20 Jun 2015,"6,434,617","2,835",344K,0:45,https://www.youtube.com/watch?v=szAK0m20fVw
183,Bittu Ki Lottery Lagi Hai | Chori Mein Twist | BB Ki Vines,20 Jun 2015,"8,991,481","3,226",466K,0:44,https://www.youtube.com/watch?v=i-Kr0aZBJC8
184,BB Ki Vines- | Bhai-Zoned..Attyachaar |,20 Jun 2015,"9,496,258","7,685",505K,0:33,https://www.youtube.com/watch?v=Ofyvd03j6xI
